ax,ay,az,gx,gy,gz,temp_raw,flags,ax_g,ay_g,az_g,a_mag
2,0,0,0,-27574,27824,14273,16389,0.00025,0.0,0.0,0.00025
6950,8610,-6765,16376,5942,-549,-23273,-16382,0.86875,1.07625,-0.8456250000000001,1.6211484403425247
22806,26553,0,0,2,0,0,0,2.85075,3.319125,0.0,4.375313283426114
-31287,28188,28454,16391,30228,22608,445,16392,-3.910875,3.5235,3.55675,6.352988751613291
6075,13787,17125,-16369,22867,26553,0,0,0.759375,1.723375,2.140625,2.851130858427056
2,0,0,0,20887,-8532,-10356,16391,0.00025,0.0,0.0,0.00025
-19050,-24430,24467,16386,23208,-1180,-30654,-16370,-2.38125,-3.05375,3.058375,4.934510944929092
22927,26553,0,0,2,0,0,0,2.865875,3.319125,0.0,4.38518303851162
28229,-14385,-9615,16390,28245,32159,-3280,16391,3.528625,-1.798125,-1.201875,4.138713740025396
-3745,21417,9328,-16378,23184,26553,0,0,-0.468125,2.677125,1.166,2.957312171761717
2,0,0,0,-14889,7922,2939,16342,0.00025,0.0,0.0,0.00025
-26924,20236,28064,16389,8434,16884,-10594,-16363,-3.3655,2.5295,3.508,5.480056979630778
23244,26553,0,0,2,0,0,0,2.9055,3.319125,0.0,4.411181362812575
28272,23800,29853,-16443,1362,8482,-25811,16393,3.5340000000000003,2.975,3.731625,5.938417814588748
28248,-4046,-1632,-16364,23354,26553,0,0,3.531,-0.50575,-0.20400000000000001,3.572864405837423
2,0,0,0,-19146,-5730,-31312,16366,0.00025,0.0,0.0,0.00025
-22231,-14397,-14772,16398,9546,-10560,15616,-16367,-2.778875,-1.799625,-1.8465,3.790825590323301
23414,26553,0,0,2,0,0,0,2.92675,3.319125,0.0,4.425206924893456
24823,-20592,26748,16363,9936,-32149,-24350,16412,3.102875,-2.574,3.3435,5.237585466188118
18406,-5077,23628,-16365,23474,26553,0,0,2.30075,-0.634625,2.9535,3.7972834636256745
2,0,0,0,-10124,-16516,307,16403,0.00025,0.0,0.0,0.00025
-20419,-31561,-21198,16412,-23000,26676,27477,-16365,-2.552375,-3.945125,-2.64975,5.394423460273582
23534,26553,0,0,2,0,0,0,2.94175,3.319125,0.0,4.435141917472879
-27765,-12657,-16959,16402,-23796,3098,-562,16422,-3.470625,-1.582125,-2.119875,4.3637400726756175
24144,29523,4764,-16366,23594,26553,0,0,3.0180000000000002,3.690375,0.5955,4.804353431069055
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
9726,26556,0,0,1,0,0,0,1.21575,3.3195,0.0,3.5351277646642423
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,9734,26556,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
9791,26556,0,0,1,0,0,0,1.223875,3.3195,0.0,3.537930223396866
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,9799,26556,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
9855,26556,0,0,1,0,0,0,1.231875,3.3195,0.0,3.5407056169109854
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,9863,26556,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
9920,26556,0,0,1,0,0,0,1.24,3.3195,0.0,3.5435406375544782
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,9928,26556,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
9984,26556,0,0,1,0,0,0,1.248,3.3195,0.0,3.5463480159172196
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,9993,26556,0,0,0.0,0.0,0.0,0.0
