0,1,2,3,4,5,6,7
0,0,0,0,0,0,0,0
13522,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,13530,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
13587,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,13595,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
13651,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,13659,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
13716,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,13724,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
13780,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,13788,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
13845,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,13853,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
13909,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,13917,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
13974,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,13982,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
14038,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,14046,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
14103,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,14111,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
14167,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,14175,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
14232,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,14240,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
14296,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,14304,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
14361,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,14369,26556,0,0
